title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid
"""Lancelot Proper""",,,,Roman de Lancelot,
al-Qurʼān,القرآن.,Qurʼan.,قرآن,Qurʼan,
Antiphonal with Historiated Initial 'D',,,,Antiphonary,
"Antiphoner, Gradual",,,,Antiphonary;Gradual,
Atharvaṇaśikhānārāyaṇopāniṣad,अथर्वणशिखानारायणोपानिषद्,Vedas,,Vedas,
Badīʻīyah,بديعية.,,,Badīʻīyah,
Bellum Catilinae,,,,De coniuratione Catilinae,
Benedetto degli Armaleoni power of attorney,,,,Power of attorney,
"Bible: Ezra, Chapter 6",,,,Bible;Ezra,
Bible Commentary: Rabanus Maurus on Deuteronomy,,,,Bible commentary,
"Book of Hours, use of Bescançon",,,,Book of hours,
Budhāṣṭamīvrata,बुधाष्टमीव्रत,Puranas,,Puranas,
Canon super almanach; De 12 signis et eorum naturis in generali,,,,Canon super almanach;De 12 signis et eorum naturis in generali,
Charles VIII decree,,,,Decree,
"Chinese Buddhist canon, single leaf (Pius XII Memorial Library. Manuscript. VFL MS 049)",,,,Chinese Buddhist canon,
Chroniques (Book I),,,,Chronicle,
Consejo de Inquisición (Spain) genealogy for Marçal Traveria,,,,Spanish Inquisition,
Curationes particularium affectum Interprete Vinsentio Garsia Salat seu potius Ludouico Collada,,,,Treatise,
Da Ming ji li,大明集禮 :,,,Da Ming ji li,
De vita et moribus philosophorum,,,,De vita et moribus philosophorum,
Documents concerning land ownership in Pixerécourt,,,,Documents concerning land owndership,
Donation to the convent of Santa Giulia,,,,Donation,
Duo dialogi de philosophia morali,,,,Duo dialogi de philosophia morali,
Enarrationes in Psalmos 101-150,,Enarrationes in Psalmos,,Enarrationes in Psalmos,
Enrollments of writs to sheriffs from book of common legal forms,,,,Writs,
Epistolae morales ad Lucilium,,,,Epistulae morales ad Lucilium,
Framed lacquer painting,,,,Framed lacquer painting,
Framed lacquer painting],,,,Framed lacquer painting,
Glossed Canon Law,,,,Canon law,
Gospel book,,Bible.,,Gospel book,
Gospel of Mark in Latin,,Bible,,Gospel of Mark,
Gradual or Missal,,,,Gradual;Missal,
Grand coutumier and Charte aux Normands,,Grand coutumier de Normandie,,Grand coutumier de Normandie,
Gregory de Chastellar agreement,,,,Agreement,
Guerino Meschino,,Guerrino il Meschino,,Guerrin meschino,
Hādhā al-Kitāb Sharḥ lil-Qaṣīdah al-Dālīyah,هذا الكتاب شرح للقصيدة الدالية.,Sharḥ lil-Qaṣīdah al-Dālīyah.,شرح للقصيدة الدالية.,Sharḥ lil-Qaṣīdah al-Dālīyah,
Hādhā Talkhīṣ laṭīf min Tahdhīb al-asmāʼ wa-al-lughāt,هذا تلخيص لطيف من تهذيب الاسماء واللغات.,Talkhīṣ laṭīf min Tahdhīb al-asmāʼ wa-al-lughāt,تلخيص لطيف من تهذيب الاسماء واللغات,Talkhīṣ laṭīf min Tahdhīb al-asmāʼ wa-al-lughāt,
Hādhihi awāʼil khuṭbat Tafsīr al-Baghawī,هذه اوائل خطبة تفسير البغوي,Maʻālim al-tanzīl,معالم التنزيل,Maʻālim al-tanzīl,
Haritālikāpūjānakathāvratodyāpana,हरितालिकापूजानकथाव्रतोद्यापन,Puranas,,Puranas,
Heraldic genealogy for the Wilughby Willoughby family,,,,Heraldic genealogy,
Historia destructionis Troiae,,,,Historia destructionis Troiae,
Historia illustrissime Domus Austriae,,,,Historia domus Austriae,
Illustration of a Palace Garden,,,,Illustration of a Palace Garden,
Illustration of a Palace Scene,,,,Illustration of a Palace Scene,
Incipit epistola Petri Damiani de die iudicii,,,,De die iudicii,
Incipit summa magistri petri manducatoris super literam in lucam,,,,Commentary on Luke,
iti prathamāṣṭaka brāhmaṇaprāraṃbhaḥ,,Vedas,,Vedas,
"Iuramentum capitulare, advocatorum per offitia rivoalti",,,,Advocati Rivoalti,
Iʻrāb al-Qurʼān /,اعراب القرآن /,,,Iʻrāb al-Qurʼān,
Kifāyat al-mutaṭabbib wa-nihāyat al-mutaʼaddib /,كفاية المتطبب ونهاية المتأدب /,,,Kifāyat al-mutaṭabbib wa-nihāyat al-mutaʼaddib,
Kitāb al-Madkhal /,كتاب المدخل /,Madkhal,مدخل,Madkhal,
Kitāb al-Siyāsah fī tadbīr al-riyāsah,كتاب السياسة في تدبير الرياسة.,Secretum secretorum.,,Secretum secretorum,
Kitāb al-ʻAlam fī tafsīr al-lamam /,كتاب العلم في تفسير اللمم /,ʻAlam fī tafsīr al-lamam,علم في تفسير اللمم,ʻAlam fī tafsīr al-lamam,
Kitāb Mashāriq al-anwār al-muḍīyah fī sharḥ al-Kawākib al-durrīyah /,كتاب مشارق الانوار المضية في شرح الكواكب الدرية /,"Mashāriq al-anwār al-muḍīyah fī sharḥ al-Kawākib
				al-durrīyah.",مشارق الانوار المضية في شرح الکواکب الدرّية.,Mashāriq al-anwār al-muḍīyah fī sharḥ al-Kawākib al-durrīyah,
Kitāb Sharḥ Alfīyat Ibn Mālik /,كتاب شرح الفية ابن مالك /,Sharḥ Alfīyat Ibn Mālik.,شرح الفية بن مالك.,Sharḥ Alfīyat Ibn Mālik,
Kitāb Tarjīḥ al-ʻuzlah fī ākhir al-zamān /,كتاب ترجيح العزلة في آخر الزمان /,Tarjīḥ al-ʻuzlah fī ākhir al-zamān,ترجيح العزلة في آخر الزمان,Tarjīḥ al-ʻuzlah fī ākhir al-zamān,
Kitāb ʻUnqūd al-zawāhir,كتاب عنقود الزواهر.,ʻUnqūd al-zawāhir,عنقود الزواهر,ʻUnqūd al-zawāhir,
Kitāb ʻUyūn al-madhāhib fī khilāfāt al-amṣār /,كتاب عيون المذاهب في خلافاة الامصار /,ʻUyūn al-madhāhib fī khilāfāt al-amṣār,عيون المذاهب في خلافات الامصار,ʻUyūn al-madhāhib fī khilāfāt al-amṣār,
La vita de Sancto Orso,,,,La vita de Sancto Orso,
Ledger of Gerardi accounts,,,,Ledger,
Letter from King Charles V of France to the keeper of the royal salt store,,,,Letter from Charles V,
Malamāsavrata,मलमासव्रत,Puranas,,Puranas,
Manuscript leaf from Diaeta salutis,,Diaeta salutis,,Diaeta salutis,
Manuscript pastedowns from De proprietatibus rerum,,De proprietatibus rerum.,,De proprietatibus rerum,
Miscellany of theological and devotional works,,,,Religious miscellany,
Nividādhyāya prāraṃbhaḥ,,Vedas,,Vedas,
"on Matthew IV, 3-V, 22",,Bible,,Gospel of Matthew,
Orationes itinerantium,,,,Orationes,
Ordinary of arms,,,,Ordinary of arms,
Painting of Men Waiting in Line in a Palace Courtyard,,,,Painting of men waiting in line in a palace courtyard,
Pārāśarīhorāpaddhati,पाराशरीहोरापद्धति,Parāśarasmr̥ti,,Parāśarasmr̥ti,
Pope Sixtus V indulgence,,,,Indulgence,
Portrait of a Woman Sitting on a Rug Holding a Bouquet,,,,Portrait of woman holding a bouquet,
Prayers and Qur'ānic verses,,,,Prayers and Qur'ānic verses,
"Receipt for 180 livres, 1664 August 11, France",,,,Receipt,
Regiment of princes,,De regimine principum,,De regimine principum,
Regulations addressed to the provveditori of the island of Cephalonia,,,,Regulations,
Relación del descubrimiento y conquista Delos Reinos del Piru...,,,,Relación del descubrimiento y conquista Delos Reinos,
Risālah ʻalá faḍl al-dāʼir,رسالة على فضل الدائر.,,,Risālah ʻalá faḍl al-dāʼir,
Risālat Sharḥ al-Farāʼiḍ. Sayf ṣārim ʻalá Risālat Abū al-Saʻūd fī waqf al-nuqūd / lil-Birkawī,"رسالة شرح الفرائض. سيف صارم على رسالة ابو السعود في وقف النقود /
				للبركوي.",,,Risālat Sharḥ al-Farāʼiḍ. Sayf ṣārim ʻalá Risālat Abū al-Saʻūd fī waqf al-nuqūd,
Rosarium Theologiae,,,,Rosarium Theologiae,
Rudrayantra,रुद्रयन्त्र,Puranas,,Puranas,
Sakalaśabdamūlabhūtatva,सकलशब्दमूलभूतत्व,Laghuśabdenduśekhara,,Laghuśabdenduśekhara,
Saṃjīvanī sarga 9,संजीवनी सर्ग ९,Sañjīvanī (Raghuvaṃśa),,Sañjīvanī (Raghuvaṃśa),
Sarum manual,,,,Sarum manual,
Schedule of tariffs on goods entering the city of Siena,,,,Schedule of tariffs,
Sermones anonymi,,,,Sermons,
Siddhāntalakṣaṇa,सिद्धान्तलक्षण,Jāgadīśī,,Jāgadīśī,
Sinceri testimoni di vn cuore segace di belta incomparabile; dedicati all' illustrissima Signora mia Colendissima la Signora Claudia Del Bene,,,,Poems,
Single leaf from a late 15th-century biblical commentary,,,,Bible Commentary,
Śivasahasranāman,शिवसहस्रनामन्,Puranas,,Puranas,
Specchio de coscienza,,Omnis mortalium cura.,,Omnis mortalium cura,
Śrībhāgavate mahāpurāṇe dvitīyāskandhe daśamodhyāyaḥ,श्रीभागवते महापुराणे द्वितीयास्कन्धे दशमोध्यायः,Puranas,पुराण,Puranas,
"Three legal treatises on civil and ecclesiastical law, with medicinal recipes, and notes and accounts related to the quartering of soldiers, probably in and near Hertfordshire (Broxbourne, Hoddesdon, and Epping), dated from 1639-1647",,,,Legal treatises;Medicinal recipes,
Tractatus Ricardi Heremite de hoc nomine Ihesus,,,,De nomine Ihesu,
Treatise on the government of France under Henry IV,,,,Treatise on the government of France under Henry IV,
Vanne de' Medici power of attorney,,,,Power of attorney,
Virgilii Aeneidos,,Aeneis.,,Aeneid,
Wisdom personified,,,,Miniature,
,,Calendarium Romanum generale,,Calendar,
Title,Title in vernacular,Uniform title,Uniform title in vernacular,Standard title,QTITLE
"Book of Hours, excerpt Hours of the Cross",,,,Book of Hours,
Qaṭr al-nadā wa-ball al-ṣadā.,قطر الندا وبل الصدا,,,Title in Arabic,QARABICTITLE
Title,Title in vernacular,Uniform title 2,Uniform title in vernacular,Standard title 2,QTITLE
